IndiceGene,ProbeSetID,Alpha,ClasseAssociada
34119,1449824_at,-0.0189302034267128,G1_Control_T0
36008,1451713_a_at,-0.0155875254259402,G1_Control_T0
13719,1429413_at,-0.0151164363578052,G1_Control_T0
6428,1422122_at,-0.0138038781973997,G1_Control_T0
12126,1427820_at,-0.0136618163871461,G1_Control_T0
12166,1427860_at,-0.0134490457840364,G1_Control_T0
4644,1420338_at,-0.0134241851715589,G1_Control_T0
21653,1437347_at,-0.0130894591645148,G1_Control_T0
28212,1443906_at,-0.0125848940234303,G1_Control_T0
3093,1418762_at,-0.012318052030012,G1_Control_T0
