IndiceGene,ProbeSetID,Alpha,ClasseAssociada
5568,1421262_at,0.0283999363710348,G5_Infected_24h_Untreated
3053,1418722_at,0.0246221334258698,G5_Infected_24h_Untreated
34483,1450188_s_at,0.022994542762701,G5_Infected_24h_Untreated
34304,1450009_at,0.0225164696343735,G5_Infected_24h_Untreated
12053,1427747_a_at,0.0219290887481007,G5_Infected_24h_Untreated
18352,1434046_at,0.0211436820742072,G5_Infected_24h_Untreated
21366,1437060_at,0.021056095375552,G5_Infected_24h_Untreated
8815,1424509_at,0.0186473254714411,G5_Infected_24h_Untreated
25171,1440865_at,0.0173437942578968,G5_Infected_24h_Untreated
4012,1419681_a_at,0.0171556870232903,G5_Infected_24h_Untreated
