Amostra,GrupoID,Grupo,PC1,PC2,PC3
1,1,G1_Control_T0,40.1817329231158,7.35193205039475,3.60815608483929
2,4,G4_Infected_2h,1.94621862929843,-3.49726768945,-23.9130628325161
3,2,G2_Control_Linezolid,36.1750705064078,12.0769580700723,4.88709297455708
4,3,G3_Control_Vancomycin,32.8115560129706,7.13320186031607,1.37002180679701
5,5,G5_Infected_24h_Untreated,-21.9548452962732,22.1658947247984,-5.502970934809
6,6,G6_Infected_24h_Linezolid,-20.2219909000551,6.61857102213251,7.69313898553165
7,7,G7_Infected_24h_Vancomycin,-24.8989524497205,14.4164829841635,12.1864184948016
8,1,G1_Control_T0,28.4003258821197,-23.8679847206695,2.69461373704924
9,4,G4_Infected_2h,-13.0546194709211,-55.53012067638,-15.1206225043182
10,2,G2_Control_Linezolid,29.148486166399,12.5479983661853,0.286169660474145
11,3,G3_Control_Vancomycin,33.8720760660656,-15.8632377069646,4.35993690208692
12,5,G5_Infected_24h_Untreated,-40.6723099846447,28.8088574257517,-9.80813696862784
13,6,G6_Infected_24h_Linezolid,-35.3268179453378,2.41838929789165,8.35095695887714
14,7,G7_Infected_24h_Vancomycin,-30.8104511392438,-12.8824209358149,1.33352793220004
15,1,G1_Control_T0,35.9754054732007,10.9242973621169,3.57592365427974
16,4,G4_Infected_2h,9.84543281668683,10.0684643073898,-21.8214672544454
17,2,G2_Control_Linezolid,35.3926984109553,12.748612237156,2.98763898610198
18,3,G3_Control_Vancomycin,16.4662956669184,-42.1963945080422,8.55299118379899
19,5,G5_Infected_24h_Untreated,-36.2388123832016,10.1669531593535,5.20990643815186
20,6,G6_Infected_24h_Linezolid,-21.2914704759891,20.2381581051367,10.0214332066311
21,7,G7_Infected_24h_Vancomycin,-26.1230817702608,19.3862237684731,2.8997841889335
22,1,G1_Control_T0,31.770128816229,11.7243508906464,0.388109260080177
23,4,G4_Infected_2h,-7.56656724482636,-35.9916814578913,-19.6170272001491
24,2,G2_Control_Linezolid,32.9215118481498,12.6846472995037,0.800284991784585
25,3,G3_Control_Vancomycin,23.3313348420129,-30.8024372645346,6.73122893915193
26,5,G5_Infected_24h_Untreated,-42.5890054617896,-17.6532166751158,13.246615289767
27,6,G6_Infected_24h_Linezolid,-42.8056534260505,-25.9492900353004,13.8299210606746
28,7,G7_Infected_24h_Vancomycin,-17.9567199703031,19.190224773011,-8.82715847477697
29,1,G1_Control_T0,36.8135809755896,-5.0267313544405,4.6701494608743
30,4,G4_Infected_2h,-8.4253232383853,-4.98017004171088,-29.1234208167377
31,2,G2_Control_Linezolid,34.5202493514529,12.8135451569317,0.849035954413246
32,3,G3_Control_Vancomycin,34.4882476172641,10.6478963693447,6.72656135862201
33,5,G5_Infected_24h_Untreated,-38.5057155020557,27.7658276069625,-6.9147985064215
34,6,G6_Infected_24h_Linezolid,-33.6169705520178,-23.3748255252251,12.4518635839482
35,7,G7_Infected_24h_Vancomycin,-32.0010447937606,5.71829175380753,0.937184398374427
